,text,name,favourite_count,retweet_count,created_at
86,"RT @verojk4: @dooly_king Se nota que estas personas no tienen ni una pizca de educación, por personas como estas el mundo está hecho mierda…",Milanesa UwU,0,16,2021-06-17 23:44:08
87,"RT @D_whatever99: @dooly_king Para cuando la disculpa?
Exigimos una disculpa por tu fomentación a la discriminación.

#DisculpateMikeSilver…",Milanesa UwU,0,36,2021-06-17 23:44:02
88,"RT @dooly_king: “La educación es el arma más poderosa que puedes usar para cambiar el mundo."" — Nelson Mandela

#DisculpateMikeSilvero
#Dis…",Milanesa UwU,0,690,2021-06-17 23:43:57
89,"RT @btsargento: — exigimos una disculpa, NADIE nos va a callar, dejen de hacer la vista gorda ante estas situaciones. Los chicos merecen re…",Lucia,0,644,2021-06-17 23:43:55
90,"RT @92jinlovrss: EXIGIMOS UNA DISCULPA! 

NO NOS VAMOS A QUEDAR CALLADOS!! 

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLiber…",Milanesa UwU,0,2494,2021-06-17 23:43:33
91,"RT @StephArmyH: Quieren respeto pero no aprende a respetar el trabajo duro de los demás.

EXIGIMOS UNA DISCULPA! 
#DisculpateMikeSilvero #D…",Lorena Montero,0,36,2021-06-17 23:42:47
92,"Ese periodista debería ir y darle 🧠 a cartes o algo más productivo, y esto es lo último que voy a decir del tema
#DisculpateABCCOLOR #ApologizeABCCOLOR #RACISMISNOTCOMEDY",foreverinmyheart🇵🇾,1,1,2021-06-17 23:42:07
93,"RT @dooly_king: ""El prejuicio es hijo de la ignorancia."" — William Hazlitt

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibert…",ᴮᴱTania!♡,0,1863,2021-06-17 23:40:53
94,"@mikeotr Buenas tardes, te odio y ojalá te arrepientas algún dia de tus comentarios mal intencionados. Que tengas un pésimo día  #DisculpateMikeSilvero #DisculpateABCCOLOR #ElRacismoNoEsLibertadDeExpresion",『♡Bantang_loveOƬ⁷』,0,0,2021-06-17 23:40:01
95,"@JiMiNiStAlovely EXIGIMOS UNA DISCULPA!!

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibertadDeExpresion
#RacismIsNotFreedomOfExpression #ApologizeABCCOLOR",L̆̈ŭ̈k̆̈ĕ̈⁷🧈,0,0,2021-06-17 23:38:30
96,RT @jimiarmy2013: @mikeotr Que mal me voy a sentir cuando seas la burla de todos los periodistas por haberte comportado como un puberto dol…,알레 🧈,0,2,2021-06-17 23:38:00
97,"RT @parkoookie: No gente no somos de ""cristal"" que ustedes permitan que le falten el respeto a sus artistas o a la personas que apoyan es s…",💜JK💜 🇲🇽,0,112,2021-06-17 23:37:53
98,"@mikeotr no debiste hacer eso, no tienes ningún derecho  para insultarlos, pero se que todo lo haces por ganarte fama hpta, lo estas logrando pero no con la personas correctas, razona y piensa. 
 #DisculpateABCCOLOR
 #DisculpateMikeSilvero
 #mikesilverocancelado 
#DisculpateMikeSilver",kookie,1,0,2021-06-17 23:36:49
